[00:00:00 - 00:02:08]:  Hora muito bom dia!
[82:48:08 - 82:49:48]:  - O Pedro Machia traz um livro breve.
[82:49:48 - 82:51:28]:  - O Pedro Machia traz um livro breve.
[82:51:28 - 82:53:08]:  - O Pedro Machia traz um livro breve.
[82:53:08 - 82:54:48]:  - O Pedro Machia traz um livro breve.
[82:54:48 - 82:56:28]:  - O Pedro Machia traz um livro breve.
[82:56:28 - 82:58:08]:  - O Pedro Machia traz um livro breve.
[82:58:08 - 83:28:08]:  - O Pedro Machia traz um livro breve.
[83:28:08 - 83:29:48]:  - O Pedro Machia traz um livro breve.
[83:29:48 - 83:31:28]:  - O Pedro Machia traz um livro breve.
[83:31:28 - 83:33:08]:  - O Pedro Machia traz um livro breve.
[83:33:08 - 83:34:48]:  - O Pedro Machia traz um livro breve.
[83:34:48 - 83:36:28]:  - O Pedro Machia traz um livro breve.
[83:36:28 - 83:38:08]:  - O Pedro Machia traz um livro breve.
[83:38:08 - 83:39:48]:  - O Pedro Machia traz um livro breve.
[83:39:48 - 83:41:28]:  - O Pedro Machia traz um livro breve.
[83:41:28 - 83:43:08]:  - O Pedro Machia traz um livro breve.
[83:43:08 - 83:44:48]:  - O Pedro Machia traz um livro breve.
[83:44:48 - 83:46:28]:  - O Pedro Machia traz um livro breve.
[83:46:28 - 83:48:08]:  - O Pedro Machia traz um livro breve.
[83:48:08 - 83:49:48]:  - O Pedro Machia traz um livro breve.
[83:49:48 - 83:51:28]:  - O Pedro Machia traz um livro breve.
[83:51:28 - 83:53:08]:  - O Pedro Machia traz um livro breve.
[83:53:08 - 83:54:48]:  - O Pedro Machia traz um livro breve.
[83:54:48 - 83:56:28]:  - O Pedro Machia traz um livro breve.
[83:56:28 - 83:58:08]:  - O Pedro Machia traz um livro breve.
[83:58:08 - 83:59:48]:  - O Pedro Machia traz um livro breve.
[83:59:48 - 84:01:28]:  - O Pedro Machia traz um livro breve.
[84:01:28 - 84:03:08]:  - O Pedro Machia traz um livro breve.
[84:03:08 - 84:04:48]:  - O Pedro Machia traz um livro breve.
[84:04:48 - 84:06:28]:  - O Pedro Machia traz um livro breve.
[84:06:28 - 84:08:08]:  - O Pedro Machia traz um livro breve.
[84:08:08 - 84:09:48]:  - O Pedro Machia traz um livro breve.
[84:09:48 - 84:11:28]:  - O Pedro Machia traz um livro breve.
[84:11:28 - 84:13:08]:  - O Pedro Machia traz um livro breve.
[84:13:08 - 84:14:48]:  - O Pedro Machia traz um livro breve.
[84:14:48 - 84:16:28]:  - O Pedro Machia traz um livro breve.
[84:16:28 - 84:46:28]:  - O Pedro Machia traz um livro breve.
[84:46:28 - 84:49:48]:  - O Pedro Machia traz um livro breve.
[84:49:48 - 84:51:28]:  - O Pedro Machia traz um livro breve.
[84:51:28 - 84:53:08]:  - O Pedro Machia traz um livro breve.
[84:53:08 - 84:54:48]:  - O Pedro Machia traz um livro breve.
[84:54:48 - 84:56:28]:  - O Pedro Machia traz um livro breve.
[84:56:28 - 84:58:08]:  - O Pedro Machia traz um livro breve.
[84:58:08 - 84:59:48]:  - O Pedro Machia traz um livro breve.
[84:59:48 - 85:01:28]:  - O Pedro Machia traz um livro breve.
[85:01:28 - 85:03:08]:  - O Pedro Machia traz um livro breve.
[85:03:08 - 85:04:48]:  - O Pedro Machia traz um livro breve.
[85:04:48 - 85:08:08]:  - O Pedro Machia traz um livro breve.
[85:08:08 - 85:09:48]:  - O Pedro Machia traz um livro breve.
[85:09:48 - 85:11:28]:  - O Pedro Machia traz um livro breve.
[85:11:28 - 85:13:08]:  - O Pedro Machia traz um livro breve.
[85:13:08 - 85:14:48]:  - O Pedro Machia traz um livro breve.
[85:14:48 - 85:16:28]:  - O Pedro Machia traz um livro breve.
[85:16:28 - 85:18:08]:  - O Pedro Machia traz um livro breve.
[85:18:08 - 85:19:48]:  - O Pedro Machia traz um livro breve.
[85:19:48 - 85:21:28]:  - O Pedro Machia traz um livro breve.
[85:21:28 - 85:23:08]:  - O Pedro Machia traz um livro breve.
[85:23:08 - 85:24:48]:  - O Pedro Machia traz um livro breve.
[85:24:48 - 85:26:28]:  - O Pedro Machia traz um livro breve.
[85:26:28 - 85:28:08]:  - O Pedro Machia traz um livro breve.
[85:28:08 - 85:29:48]:  - O Pedro Machia traz um livro breve.
[85:29:48 - 85:31:28]:  - O Pedro Machia traz um livro breve.
[85:31:28 - 85:33:08]:  - O Pedro Machia traz um livro breve.
[85:33:08 - 85:34:48]:  - O Pedro Machia traz um livro breve.
[85:34:48 - 85:36:28]:  - O Pedro Machia traz um livro breve.
